found_date,tier,score,title,company,showroom_name,location,salary,is_recruiter,decision_maker_hint,opening_line,url,source,matched_on
2026-06-17,WARM - Winner/Cyncly,90,Kitchen Sales Designer,SEEK APPLIANCES LIMITED,,"Nottingham, Nottinghamshire","£36,041",False,,,https://www.adzuna.co.uk/jobs/land/ad/5766214828?se=enCguhZq8RGHcblSVmFK6Q&utm_medium=api&utm_source=119695ba&v=517B46AC48D7064CD8A4DF366623B36F206D15BD,Adzuna (GB),Compusoft
2026-06-17,WATCH - generic CAD,60,Kitchen and Bathroom Designer,GCS Associates,,Llandeilo,"£28,000 - £31,000",False,,,https://www.reed.co.uk/jobs/kitchen-and-bathroom-designer/57000699,Reed,Bathroom CAD designer
2026-06-17,WATCH - generic CAD,60,Kitchen Designer,Dennis and Robinson T/A Paula Rosa Manhattan,,BN158UH,"£30,000 - £38,000",False,,,https://www.reed.co.uk/jobs/kitchen-designer/57013932,Reed,Kitchen CAD designer
2026-06-17,WATCH - generic CAD,50,Project Kitchen Designer,DESIGNER RECRUITMENT LTD,,"London, UK","£45,000",True,,,https://www.adzuna.co.uk/jobs/land/ad/5766143038?se=WkdKuRZq8RG8iqg-94pN9Q&utm_medium=api&utm_source=119695ba&v=BA5646105F79C9B1B179F044E416EC5B82769970,Adzuna (GB),Winner Design
2026-06-17,WATCH - generic CAD,50,Kitchen Sales Designer,DESIGNER RECRUITMENT LTD,,"Blackwall, East London","£45,000",True,,,https://www.adzuna.co.uk/jobs/land/ad/5766143001?se=WkdKuRZq8RG8iqg-94pN9Q&utm_medium=api&utm_source=119695ba&v=0A8B33E3CFE14FEB98A921A52FB6AE0864A873CD,Adzuna (GB),Winner Design
2026-06-17,WATCH - generic CAD,50,Project Kitchen Designer,DESIGNER RECRUITMENT LTD,,"South East London, London","£45,000",True,,,https://www.adzuna.co.uk/jobs/details/5766309896?utm_medium=api&utm_source=119695ba,Adzuna (GB),Winner Design
2026-06-17,WATCH - generic CAD,50,Kitchen Sales Designer,DESIGNER RECRUITMENT LTD,,"South East London, London","£45,000",True,,,https://www.adzuna.co.uk/jobs/details/5766309895?utm_medium=api&utm_source=119695ba,Adzuna (GB),Winner Design
2026-06-17,WATCH - generic CAD,50,Kitchen Designer,Stoneham PLC,,"Sidcup, Kent","£55,000",True,,,https://www.adzuna.co.uk/jobs/land/ad/5766300186?se=enCguhZq8RGHcblSVmFK6Q&utm_medium=api&utm_source=119695ba&v=F5BAC899011470C11B699A073D586D6D22376554,Adzuna (GB),Compusoft
2026-06-17,WATCH - generic CAD,50,Kitchen Designer,Stoneham PLC,,Sidcup,"£36,000 - £55,000",True,,,https://www.reed.co.uk/jobs/kitchen-designer/56970475,Reed,Compusoft
2026-06-17,WATCH - generic CAD,50,Design Assistant,DESIGNER RECRUITMENT LTD,,"Sandiacre, Nottingham","£28,000",True,,,https://www.adzuna.co.uk/jobs/land/ad/5766143016?se=ZknJvRZq8RGwYu6IutgTPw&utm_medium=api&utm_source=119695ba&v=B93C02F7CFAB90DE52D684601CC87C2E615F0272,Adzuna (GB),Kitchen CAD designer
